ticker,date,resonance,red_ratio,ret_5d,exc_5d,ret_10d,exc_10d,ret_20d,exc_20d,ret_60d,exc_60d,sample,baseline_ret,baseline_exc,rule_ret,rule_exc,exited_early
5681.KL,2011-06-06,85.0,1.0,-0.0233410556758693,-0.0193079080818728,-0.0208841024468304,-0.0254261712623227,-0.0049138015586998,-0.0243772266700887,0.1310442890418437,0.1986090667857772,in_sample,0.1310442890418437,0.1986090667857772,-0.0233410556758693,-0.0193079080818728,True
5681.KL,2011-07-04,85.0,1.0,0.0753083827266458,0.0713712129697194,0.1111113922241191,0.1236054800278803,0.1025119696161815,0.117894132978177,0.0361110390759027,0.1718774367561232,in_sample,0.0361110390759027,0.1718774367561232,0.0361110390759027,0.1718774367561232,False
5681.KL,2011-08-01,85.0,1.0,-0.0324445828533827,0.0067207749740868,0.0139052856416588,0.051305571368973,0.030945234139255,0.1020230767334974,-0.0637339376496205,-0.0108652175509745,in_sample,-0.0637339376496205,-0.0108652175509745,-0.0637339376496205,-0.0108652175509745,False
5681.KL,2011-08-29,85.0,1.0,-0.0011340004153147,-0.0167219254182414,-0.0170067601338245,-0.0057165616222815,-0.0884355236782755,-0.0333317773671139,-0.0578233554373914,-0.084072769659818,in_sample,-0.0578233554373914,-0.084072769659818,-0.0011340004153147,-0.0167219254182414,True
5681.KL,2011-10-03,60.0,1.0,0.0,-0.0215865355604583,-0.0049748414203164,-0.0765130673018074,-0.0037317415251628,-0.0827945658882375,0.1167266528329664,-0.0026207487454352,in_sample,0.1167266528329664,-0.0026207487454352,0.0,-0.0215865355604583,True
5681.KL,2011-11-01,60.0,1.0,0.016230021782118,0.0067426130231902,0.0112363417520282,0.010423168376433,0.0374535193454805,0.0309343174929344,0.1549149880560381,0.1132720734143426,in_sample,0.1549149880560381,0.1132720734143426,0.1549149880560381,0.1132720734143426,False
5681.KL,2011-12-01,85.0,1.0,0.042809719845638,0.0511180064346372,0.0440235537524851,0.0582635011522673,0.0804431975245703,0.0498290488878609,0.1095787550420963,0.0395843027213171,in_sample,0.1095787550420963,0.0395843027213171,0.1095787550420963,0.0395843027213171,False
5681.KL,2011-12-30,85.0,1.0,-0.0370785285353274,-0.0311989807935082,-0.0325842359834769,-0.0184276426250818,0.0303373174788703,0.0261824466442277,0.072742779398649,0.0250204183289617,in_sample,0.072742779398649,0.0250204183289617,-0.0370785285353274,-0.0311989807935082,True
5681.KL,2012-02-02,85.0,1.0,0.02399092537816,0.0072515145167935,-0.0141769744027293,-0.0294525802494041,-0.0032717591214213,-0.0371864980384708,0.0642448810896831,0.0347735750272892,in_sample,0.0642448810896831,0.0347735750272892,0.0642448810896831,0.0347735750272892,False
5681.KL,2012-03-05,85.0,1.0,0.0125866967781211,0.0279841692200881,0.0136893501814823,0.0235180682980037,0.0445744688495755,0.035412704674596,0.1317142512163653,0.1405550202834671,in_sample,0.1317142512163653,0.1405550202834671,0.1317142512163653,0.1405550202834671,False
